title,body,created_on,ticket_status
access to assets,assets hi please provide wallet destinations os thanks,06/12/2022,Resolved
monitor,monitor monitor note monitor la senior developer,01/12/2022,Resolved
approver,wednesday approver dear please help too thank much head analysis approver dear please enable requisition pm analysis discipline thank much,02/12/2022,On-Queue
mailbox access,mailbox hi please mailbox mailbox anymore thank,03/12/2022,On-Queue
migration to,migration hello order migrate existing repository please help create repository hosting automation framework which developed internally thanks,04/12/2022,On-Queue
free day,re free hi annual leave has added today kind regards id image cd free hello please help vacation today feeling sick regards test consultant mobile,05/12/2022,On-Queue
oracle,hi please rise ticket regards sent importance high hi can you please help with approval process entries far can option approve does exist anymore there options actions request information dismiss save dismiss would like approve sheet last week could you please advise how proceed with approval process thanks kind regards,07/12/2022,On-Queue
suppliers report,suppliers report hi please thanks tuesday december pm suppliers report hi help reducing number lines suppliers report tools reports shared folders custom suppliers report suppliers report same folder please old suppliers report columns marked red attached report columns marked remain also help reducing number lines each supplier currently report brings banks supplier has report bring primary electronic also supplier created multiple entities each entity has different remittance advice each entity report bring two more lines same information addresses remittance report bring remittance advice corresponding entity filter report supplier well understand mean misunderstandings please let thank regards officer,08/12/2022,On-Queue
windows upgrade inquiry,upgrade hi got circular about upgrading problem based belfast suggestions how proceed thanks engineer id image id image id image id image ext,09/12/2022,On-Queue
oracle error,wednesday november error hello please provide assistance sheet encountered error completed by mistake bench tried delete records error attached print screen best regards senior performance tester,10/12/2022,On-Queue
create a service now for,create hello please create include users further details required side please let thank,11/12/2022,On-Queue
request for mail merge windows upgrade has started,merge upgrade has started hello dear please merge include also word file attach file merge please let questions thank guys kind regards infrastructure ext phone october upgrade has started hello user name find out announcements rollout upgrade started ago since then upgrade maybe,12/12/2022,On-Queue
